Scheme Code;ISIN Div Payout/ ISIN Growth;ISIN Div Reinvestment;Scheme Name;Net Asset Value;Date
 
Open Ended Schemes(Debt Scheme - Banking and PSU Fund)
 
Aditya Birla Sun Life Mutual Fund
 
119551;INF209KA12Z1;INF209KA13Z9;Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW;109.7834;01-Mar-2024
119552;INF209K01YM2;-;Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW;114.3073;01-Mar-2024
119553;INF209K01YO8;-;Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW;112.9569;01-Mar-2024
108272;INF209K01LX6;INF209KA11Z3;Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW;154.932;01-Mar-2024
110282;INF209K01LU2;-;Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW;110.7202;01-Mar-2024
108274;INF209K01LN7;-;Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW;109.5452;01-Mar-2024
110490;INF209K01LR8;-;Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW;110.5021;01-Mar-2024
106157;INF209K01LS6;-;Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW;112.3719;01-Mar-2024
108273;INF209K01LV0;-;Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth;329.702;01-Mar-2024
103176;INF209K01LT4;-;Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth;494.9257;01-Mar-2024
119550;INF209K01YN0;-;Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth;340.651;01-Mar-2024
 
Axis Mutual Fund
 
128952;INF846K01NF8;-;Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option;1532.8272;14-Jun-2017
120437;-;INF846K01CU0;Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW;1039.1310;01-Mar-2024
120438;INF846K01CR6;-;Axis Banking & PSU Debt Fund - Direct Plan - Growth Option;2437.2183;01-Mar-2024
120439;INF846K01CT2;INF846K01CS4;Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW;1033.5123;01-Mar-2024
120436;INF846K01CV8;INF846K01CW6;Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW;1038.9000;01-Mar-2024
128953;INF846K01NG6;-;Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option;1289.4075;18-May-2015
117447;-;INF846K01CC8;Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW;1039.1303;01-Mar-2024
117446;INF846K01CB0;-;Axis Banking & PSU Debt Fund - Regular Plan - Growth option;2372.3349;01-Mar-2024
117449;INF846K01CF1;INF846K01CG9;Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW;1033.4709;01-Mar-2024
117448;INF846K01CD6;INF846K01CE4;Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW;1038.8646;01-Mar-2024
 
Bajaj Finserv Mutual Fund
 
152164;INF0QA701649;INF0QA701631;Bajaj Finserv Banking and PSU Fund-  Direct Plan-Monthly- IDCW;10.2773;01-Mar-2024
152163;INF0QA701615;INF0QA701623;Bajaj Finserv Banking and PSU Fund- Direct Plan- IDCW;10.2773;01-Mar-2024
152165;INF0QA701557;-;Bajaj Finserv Banking and PSU Fund- Regular Plan- Growth;10.2603;01-Mar-2024
152166;INF0QA701565;INF0QA701573;Bajaj Finserv Banking and PSU Fund- Regular Plan- IDCW;10.2603;01-Mar-2024
152162;INF0QA701607;-;Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth;10.2773;01-Mar-2024
152167;INF0QA701599;INF0QA701581;Bajaj Finserv Banking and PSU Fund-Regular Plan-Monthly-IDCW;10.2603;01-Mar-2024
 
Bandhan Mutual Fund
 
121936;INF194K019M8;-;BANDHAN Banking & PSU Debt Fund - Direct Annual IDCW;12.7238;01-Mar-2024
127471;-;INF194KA1JD3;BANDHAN Banking & PSU Debt Fund - Direct Daily IDCW;10.4768;01-Mar-2024
121934;-;INF194K010N5;BANDHAN Banking & PSU Debt Fund - Direct Fortnightly IDCW;10.4580;01-Mar-2024
121279;INF194K015G8;-;BANDHAN Banking & PSU Debt Fund - Direct Growth;22.7508;01-Mar-2024
121281;INF194K016G6;INF194K017G4;BANDHAN Banking & PSU Debt Fund - Direct IDCW;11.9679;01-Mar-2024
121935;-;INF194K011N3;BANDHAN Banking & PSU Debt Fund - Direct Monthly IDCW;10.4264;01-Mar-2024
121938;INF194K018M0;-;BANDHAN Banking & PSU Debt Fund - Direct Quarterly IDCW;10.8641;01-Mar-2024
121933;INF194K015M6;-;BANDHAN Banking & PSU Debt Fund - Regular Annual IDCW;11.6760;01-Mar-2024
127470;-;INF194KA1JC5;BANDHAN Banking & PSU Debt Fund - Regular Daily IDCW;10.8788;01-Mar-2024
121931;-;INF194K016M4;BANDHAN Banking & PSU Debt Fund - Regular Fortnightly IDCW;10.6136;01-Mar-2024
121280;INF194K01SN6;-;BANDHAN Banking & PSU Debt Fund - Regular Growth;22.1953;01-Mar-2024
121282;INF194K01SO4;INF194K012D2;BANDHAN Banking & PSU Debt Fund - Regular IDCW;11.9854;01-Mar-2024
121932;-;INF194K017M2;BANDHAN Banking & PSU Debt Fund - Regular Monthly IDCW;10.6703;01-Mar-2024
121937;INF194K014M9;-;BANDHAN Banking & PSU Debt Fund - Regular Quarterly IDCW;10.7678;01-Mar-2024
 
Baroda BNP Paribas Mutual Fund
 
148629;INF955L01KF1;INF955L01KG9;Baroda BNP Paribas Banking and PSU Bond Fund -Direct Plan-Monthly IDCW Option;10.2548;01-Mar-2024
148628;INF955L01KC8;-;Baroda BNP Paribas Banking and PSU Bond Fund- Direct Plan -Growth Option;11.5584;01-Mar-2024
148630;INF955L01KD6;INF955L01KE4;Baroda BNP Paribas Banking and PSU Bond Fund-Direct plan-Quarterly IDCW Option;10.4084;01-Mar-2024
148625;INF955L01JX6;-;Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Growth Option;11.3684;01-Mar-2024
148626;INF955L01KA2;INF955L01KB0;Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Monthly IDCW Option;10.1506;01-Mar-2024
148627;INF955L01JY4;INF955L01JZ1;Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan-Quarterly IDCW Option;10.2622;01-Mar-2024
 
Canara Robeco Mutual Fund
 
150505;INF760K01KC4;-;Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option;10.9746;01-Mar-2024
150507;INF760K01KE0;INF760K01KD2;Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout;10.4390;01-Mar-2024
150503;INF760K01KF7;-;Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option;10.9251;01-Mar-2024
150504;INF760K01KH3;INF760K01KG5;Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment);10.3906;01-Mar-2024
 
DSP Mutual Fund
 
124175;INF740K01ZW2;-;DSP Banking & PSU Debt Fund - Direct Plan - Growth;22.3131;01-Mar-2024
124178;INF740K01A18;INF740K01A26;DSP Banking & PSU Debt Fund - Direct Plan - IDCW;10.9268;01-Mar-2024
124182;-;INF740KA1OF7;DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest;10.1600;01-Mar-2024
124176;INF740K01ZX0;INF740K01ZY8;DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly;10.2650;01-Mar-2024
124177;INF740K01ZZ5;INF740K01A00;DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly ;10.3705;01-Mar-2024
124183;INF740KA1OG5;INF740KA1OH3;DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly;10.1624;01-Mar-2024
124172;INF740K01ZP6;-;DSP Banking & PSU Debt Fund - Regular Plan - Growth;21.6291;01-Mar-2024
124174;INF740K01ZU6;INF740K01ZV4;DSP Banking & PSU Debt Fund - Regular Plan - IDCW;10.9008;01-Mar-2024
124173;-;INF740KA1OI1;DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest;10.1600;01-Mar-2024
124180;INF740K01ZQ4;INF740K01ZR2;DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly;10.2571;01-Mar-2024
124181;INF740K01ZS0;INF740K01ZT8;DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly ;10.3642;01-Mar-2024
124179;INF740KA1OJ9;INF740KA1OK7;DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly;10.1623;01-Mar-2024
 
Edelweiss Mutual Fund
 
140286;INF843K01FC8;-;Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option;22.8171;01-Mar-2024
140288;INF843K01FD6;INF843K01FE4;Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option;18.2693;01-Mar-2024
140291;INF843K01FG9;-;Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option;14.494;01-Mar-2024
140293;INF843K01FI5;INF843K01FH7;Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option;10.9296;01-Mar-2024
140290;INF843K01FF1;-;Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option;10.5614;01-Mar-2024
140283;INF843K01FK1;-;Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option;22.1108;01-Mar-2024
140284;INF843K01FL9;INF843K01FM7;Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option;17.5884;01-Mar-2024
140294;INF843K01FO3;-;Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option;14.1124;01-Mar-2024
140292;INF843K01FQ8;INF843K01FP0;Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option;11.1741;01-Mar-2024
140289;INF843K01FN5;-;Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option;10.1556;01-Mar-2024
 
Franklin Templeton Mutual Fund
 
129008;INF090I01KR8;-;Franklin India Banking & PSU Debt Fund - Direct - Growth;21.0305;01-Mar-2024
129006;INF090I01KO5;-;Franklin India Banking & PSU Debt Fund - Growth;20.2199;01-Mar-2024
129009;INF090I01KS6;INF090I01KT4;Franklin India Banking and PSU Debt Fund - Direct - IDCW ;11.1127;01-Mar-2024
129007;INF090I01KP2;INF090I01KQ0;Franklin India Banking and PSU Debt Fund - IDCW ;10.5364;01-Mar-2024
 
HDFC Mutual Fund
 
128628;INF179KA1JC4;-;HDFC Banking and PSU Debt Fund - Growth Option;20.6955;01-Mar-2024
128629;INF179KA1IZ7;-;HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan;21.4393;01-Mar-2024
128627;INF179KA1JD2;INF179KA1JE0;HDFC Banking and PSU Debt Fund - IDCW Option;10.1468;01-Mar-2024
128626;INF179KA1JA8;INF179KA1JB6;HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan;10.0371;01-Mar-2024
 
HSBC Mutual Fund
 
151108;-;INF917K01HL7;HSBC Banking and PSU Debt Fund - Direct Daily IDCW;11.1907;01-Mar-2024
151107;INF917K01HH5;-;HSBC Banking and PSU Debt Fund - Direct Growth;22.9396;01-Mar-2024
151106;INF917K01HJ1;INF917K01HI3;HSBC Banking and PSU Debt Fund - Direct Monthly IDCW;11.2193;01-Mar-2024
151109;-;INF917K01HK9;HSBC Banking and PSU Debt Fund - Direct Weekly IDCW;10.3490;01-Mar-2024
151102;-;INF677K01AF4;HSBC Banking and PSU Debt Fund - Regular Daily IDCW;11.1160;01-Mar-2024
151104;INF677K01AE7;-;HSBC Banking and PSU Debt Fund - Regular Growth;21.8884;01-Mar-2024
151105;INF677K01AI8;INF677K01AJ6;HSBC Banking and PSU Debt Fund - Regular Monthly IDCW;10.6180;01-Mar-2024
151103;-;INF917K01HM5;HSBC Banking and PSU Debt Fund - Regular Weekly IDCW;10.3217;01-Mar-2024
 
ICICI Prudential Mutual Fund
 
112343;INF109K01WS5;INF109K01RV9;ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW;10.0549;16-Sep-2022
112344;INF109K01WR7;INF109K01RU1;ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW;10.2427;16-Sep-2022
130897;INF109KA1B57;-;ICICI Prudential Banking and PSU Debt Fund - Bonus;15.8889;24-Apr-2020
120257;INF109K01Z89;INF109K01Z97;ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW;10.2538;16-Sep-2022
120256;INF109K010A6;-;ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth;30.5656;01-Mar-2024
120258;INF109K011A4;INF109K012A2;ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW;12.7847;01-Mar-2024
120255;INF109K013A0;INF109K014A8;ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW;10.3708;16-Sep-2022
130950;INF109KA1B40;-;ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus;13.8665;10-Apr-2018
131148;INF109KA1M96;INF109KA1M88;ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option;13.1098;16-Sep-2022
112342;INF109K01RT3;-;ICICI Prudential Banking and PSU Debt Fund - Growth;29.4539;01-Mar-2024
116174;INF109K01YE1;INF109K01YD3;ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW;10.8344;01-Mar-2024
131147;INF109KA1M70;INF109KA1M62;ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option;12.9261;16-Sep-2022
113247;INF109K01WW7;INF109K01JM5;ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend;10.0122;24-Apr-2020
113242;INF109K01II5;-;ICICI Prudential Banking and PSU Debt Fund Retail Growth;21.631;24-Apr-2020
113243;INF109K01WV9;INF109K01IJ3;ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend;10.3305;20-Aug-2015
 
Invesco Mutual Fund
 
118234;-;INF205K01JX8;Invesco India Banking and PSU Fund - Daily IDCW (Reinvestment);1011.1328;01-Mar-2024
120444;INF205K01KT4;-;Invesco India Banking and PSU Fund - Direct Plan -  Growth Option;2171.088;01-Mar-2024
120443;-;INF205K01KS6;Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment);1032.0614;01-Mar-2024
120445;INF205K01KU2;INF205K01KV0;Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment);1010.3803;01-Mar-2024
118232;INF205K01JV2;-;Invesco India Banking and PSU Fund - Growth Option;2038.0753;01-Mar-2024
118233;INF205K01JW0;INF205K01JY6;Invesco India Banking and PSU Fund - Monthly IDCW (Payout / Reinvestment);1030.7677;01-Mar-2024
 
ITI Mutual Fund
 
148534;INF00XX01861;-;ITI Banking & PSU Debt Fund - Direct Plan - Growth Option;12.0390;01-Mar-2024
148536;INF00XX01879;INF00XX01887;ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option;12.0390;01-Mar-2024
148535;INF00XX01838;-;ITI Banking & PSU Debt Fund - Regular Plan - Growth Option;11.8190;01-Mar-2024
148533;INF00XX01846;INF00XX01853;ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option;11.8190;01-Mar-2024
 
Kotak Mahindra Mutual Fund
 
123688;INF174K01FS4;INF174K01FR6;Kotak Banking and PSU Debt - Annual Dividend;16.1842;15-Sep-2017
123858;-;INF174K01SD9;Kotak Banking and PSU Debt - Daily Dividend Reinvestment;10.188;15-Sep-2017
